,date,pm25
912,2018-03-29,62.0
913,2018-03-30,48.0
914,2018-03-31,32.0
915,2018-04-01,35.0
916,2017-10-05,13.0
917,2017-10-06,9.0
918,2017-10-07,8.0
919,2017-10-08,13.0
920,2017-10-09,8.0
921,2017-10-10,7.0
922,2017-10-11,12.0
923,2017-10-12,12.0
924,2017-10-13,10.0
925,2017-10-14,9.0
926,2017-10-15,11.0
927,2017-10-16,21.0
928,2017-10-17,28.0
929,2017-10-18,26.0
930,2017-10-19,10.0
931,2017-10-20,19.0
932,2017-10-21,25.0
933,2017-10-22,14.0
934,2017-10-23,17.0
935,2017-10-24,11.0
936,2017-10-31,11.0
937,2017-11-01,13.0
938,2017-11-02,17.0
939,2017-11-03,15.0
940,2017-11-04,16.0
941,2017-11-05,14.0
942,2017-11-06,58.0
943,2017-11-07,21.0
944,2017-11-08,27.0
945,2017-11-09,30.0
946,2017-11-10,42.0
947,2017-11-11,25.0
948,2017-11-12,13.0
949,2017-11-13,11.0
950,2017-11-14,10.0
951,2017-11-15,12.0
952,2017-11-16,12.0
953,2017-11-17,13.0
954,2017-11-18,15.0
955,2017-11-19,14.0
956,2017-11-20,24.0
957,2017-11-21,10.0
958,2017-11-22,17.0
959,2017-11-24,52.0
960,2017-11-25,26.0
961,2017-11-26,23.0
962,2017-11-27,29.0
963,2017-11-28,13.0
964,2017-11-29,11.0
965,2017-11-30,12.0
966,2017-12-01,17.0
967,2017-12-02,12.0
968,2017-12-03,9.0
969,2017-12-04,7.0
970,2017-12-05,14.0
971,2017-12-06,14.0
972,2017-12-07,13.0
973,2017-12-08,15.0
974,2017-12-09,14.0
975,2017-12-10,12.0
976,2017-12-11,12.0
977,2017-12-12,26.0
978,2017-12-13,23.0
979,2017-12-14,15.0
980,2017-12-15,29.0
981,2017-12-16,15.0
982,2017-12-17,19.0
983,2017-12-18,18.0
984,2017-12-19,29.0
985,2017-12-20,27.0
986,2017-12-21,30.0
987,2017-12-22,17.0
988,2017-12-23,13.0
989,2017-12-24,11.0
990,2017-12-25,9.0
991,2017-12-26,14.0
992,2017-12-27,16.0
993,2017-12-28,10.0
994,2017-12-29,55.0
995,2017-12-30,42.0
996,2017-12-31,16.0
