date, pm25, pm10, o3, no2, so2, co
10/2/2015,61,28,29,19, ,12
10/3/2015,68,18,21,17, ,14
10/4/2015,69,13,14,6, ,10
10/5/2015,34,8,13,7, ,9
10/6/2015,23,20,12,9, ,10
10/7/2015,60,29, ,20, ,13
10/8/2015,68,41,8,25, ,15
10/9/2015,75,31,33,25, ,14
10/10/2015,79,15,26,15, ,14
10/11/2015,43, ,36,10, ,14
10/12/2015, , ,36,5, ,10
10/13/2015, , ,24,11, ,10
10/14/2015, , ,36,17, ,11
10/15/2015, , ,28,27, ,13
10/16/2015, , ,31,28, ,17
10/17/2015, , ,21,6, ,8
10/18/2015, , ,15,3, ,5
10/19/2015, , ,24,10, ,6
10/20/2015, , ,21,20, ,7
10/21/2015, , ,39,23, ,9
10/22/2015, , ,23,17, ,8
10/23/2015, , ,22,15, ,7
10/24/2015, , ,22,3, ,3
10/25/2015, , ,14,3, ,2
10/26/2015, , ,24,12, ,4
10/27/2015, , ,21,20, ,6
10/28/2015, , ,22,13, ,4
10/29/2015, , ,25,8, ,2
10/30/2015, , ,45,13, ,3
10/31/2015, , ,41,13, ,3
11/1/2015, , ,34,7, ,3
11/2/2015, , ,39,7, ,2
11/3/2015, , ,31,19, ,5
11/4/2015, , ,29,21, ,6
11/5/2015, , ,24,19, ,6
11/6/2015, , ,18,14, ,4
11/7/2015, , ,24,6, ,2
11/8/2015, , ,37,7, ,2
11/9/2015, , ,36,17, ,4
11/10/2015, , ,72,17, ,4
11/11/2015, , ,46,25, ,6
11/12/2015, , ,95,12, ,3
11/13/2015, , ,29,23, ,6
11/14/2015, , ,36,15, ,4
11/15/2015, , ,33,8, ,3
11/16/2015, , ,17,8, ,2
11/17/2015, , ,27,14, ,4
11/18/2015, , ,28,19, ,4
11/19/2015, , ,28,17, ,5
11/20/2015, , ,28,7, ,2
11/21/2015, , ,18,4, ,2
11/22/2015, , ,18,8, , 
11/23/2015, , ,5,22, , 
11/24/2015, , ,9,16, , 
11/25/2015, , ,7,12, ,4
11/26/2015, , ,27,8, ,5
11/27/2015, , ,35,9, ,5
11/28/2015, , ,36,11, ,6
11/29/2015, , ,15,7, ,5
11/30/2015, , ,11,7, ,3
12/1/2015, , ,17,9, ,3
12/2/2015, , ,47,10, ,4
12/3/2015, , ,14,10, ,4
12/4/2015, , ,28,10, ,4
12/5/2015, , ,35,12, ,5
12/6/2015, , ,30,8, ,3
12/7/2015, , ,19,8, ,2
12/8/2015, , ,28,8, ,2
12/9/2015, , ,21,12, ,4
12/10/2015, , ,20,13, ,4
12/11/2015, , ,26,13, ,4
12/12/2015, , ,20,12, ,4
12/13/2015, , ,25,9, ,5
12/14/2015, , ,34,13, ,6
12/15/2015, , ,28,16, , 
12/16/2015, , ,17,8, , 
12/17/2015, , ,34,11, , 
12/18/2015, , ,35,19, ,10
12/19/2015, , ,36,14, ,6
12/20/2015, , ,50,8, , 
12/21/2015, , ,44,9, , 
12/22/2015, , ,28,13, , 
12/23/2015, , ,28,15, , 
12/24/2015, , ,30,7, , 
12/25/2015, , ,25,8, , 
12/26/2015, , ,28,5, , 
12/27/2015, , ,22,3, , 
12/28/2015, , ,18,9, , 
12/29/2015, , ,13,7, ,1
12/30/2015, , ,16,5, ,1
1/3/2016, , ,11,1, ,5
1/4/2016, , , ,4, ,4
1/5/2016, , ,18,6, ,6
1/6/2016, , ,48,9, ,7
1/7/2016, , ,49,12, ,8
1/8/2016, , ,37,13, ,10
1/9/2016, , ,56,10, ,10
1/10/2016, , ,17,6, ,7
1/11/2016, , ,12,8, ,5
1/12/2016, , ,9,6, ,6
1/13/2016, , , ,5, ,5
1/14/2016, , , ,5, ,4
1/15/2016, , , ,6, ,4
1/16/2016, , ,2,4, ,1
1/17/2016, , ,10,1, , 
1/18/2016, , ,23,5, ,1
1/19/2016, , ,10,4, ,1
1/20/2016, , ,12,4, ,1
1/21/2016, , ,9,3, ,1
1/22/2016, , ,19,4, ,1
1/23/2016, , ,14,3, ,2
