date, pm25, pm10, o3, no2, so2, co
2018/10/4, 33, 21, 32, 21, 2, 6
2018/10/5, 37, 31, 55, 25, 2, 7
2018/10/6, 57, 41, 56, 28, 3, 8
2018/10/7, 84, 38, 54, 30, 2, 8
2018/10/8, 86, 43, 51, 39, 5, 10
2018/10/9, 92, 38, 46, 27, 3, 10
2018/10/10, 67, 40, 45, 37, 3, 11
2018/10/11, 85, 44, 51, 34, 5, 10
2018/10/12, 99, 36, 39, 30, 2, 8
2018/10/13, 70, 36, 33, 25, 3, 8
2018/10/14, 68, 18, 27, 17, 5, 7
2018/10/15, 33, 29, 14, 29, 4, 10
2018/10/16, 50, 37, 39, 30, 3, 10
2018/10/17, 67, 24, 14, 20, 8, 7
2018/10/18, 38, 19, 13, 19, 1, 7
2018/10/19, 28, 25, 10, 22, 3, 8
2018/10/20, 43, , , , , 
2018/11/10, 68, 39, 49, 26, 5, 8
2018/11/11, 70, 46, 69, 29, 21, 10
2018/11/12, 91, 39, 37, 32, 5, 11
2018/11/13, 70, 46, 22, 31, 9, 11
