date, pm25, pm10, o3, so2, co
12/15/2017,52, , , , 
12/16/2017,55, , , , 
12/17/2017,45, , , , 
12/18/2017,41, , , , 
12/19/2017,41, , , , 
12/20/2017,36, , , , 
12/21/2017,31, , , , 
12/22/2017,42, , , , 
12/23/2017,51, , , , 
12/26/2017,60, , , , 
12/27/2017,39, , , , 
12/28/2017,32, , , , 
12/29/2017,34, , , , 
12/30/2017,35, , , , 
12/31/2017,23, , , , 
1/1/2018,33, , , , 
1/2/2018,83, , , , 
1/3/2018,18, , , , 
1/4/2018,16, , , , 
1/5/2018,28, , , , 
1/6/2018,31, , , , 
1/7/2018,22, , , , 
1/8/2018,28, , , , 
1/9/2018,36, , , , 
1/10/2018,28, , , , 
1/11/2018,37, , , , 
1/12/2018,22, , , , 
1/13/2018,25, , , , 
1/14/2018,30, , , , 
1/15/2018,28, , , , 
1/16/2018,33, , , , 
1/17/2018,28, , , , 
1/18/2018,35, , , , 
1/19/2018,40, , , , 
1/20/2018,34, , , , 
1/21/2018,39, , , , 
1/22/2018,29, , , , 
1/23/2018,35, , , , 
1/24/2018,33, , , , 
1/25/2018,41, , , , 
1/26/2018,36, , , , 
1/27/2018,37, , , , 
1/28/2018,37, , , , 
1/29/2018,42, , , , 
1/30/2018,33, , , , 
1/31/2018,27, , , , 
2/1/2018,31, , , , 
2/2/2018,35, , , , 
2/3/2018,44, , , , 
2/4/2018,42, , , , 
2/5/2018,29, , , , 
2/6/2018,35, , , , 
2/7/2018,41, , , , 
2/8/2018,33, , , , 
2/9/2018,31, , , , 
2/10/2018,29, , , , 
2/11/2018,33, , , , 
2/12/2018,38, , , , 
2/13/2018,43, , , , 
2/14/2018,35, , , , 
2/15/2018,22, , , , 
2/16/2018,23, , , , 
2/17/2018,32, , , , 
2/18/2018,29, , , , 
2/19/2018,26, , , , 
2/20/2018,30, , , , 
2/21/2018,38, , , , 
2/22/2018,34, , , , 
2/23/2018,40, , , , 
2/24/2018,35, , , , 
2/25/2018,29, , , , 
2/26/2018,26, , , , 
2/27/2018,22, , , , 
2/28/2018,39, , , , 
3/1/2018,32, , , , 
3/2/2018,35, , , , 
3/3/2018,64, , , , 
3/4/2018,32, , , , 
3/5/2018,30, , , , 
3/6/2018,30, , , , 
3/7/2018,37, , , , 
3/8/2018,40, , , , 
3/9/2018,27, , , , 
3/10/2018,44, , , , 
3/11/2018,42, , , , 
3/12/2018,37, , , , 
3/13/2018,32, , , , 
3/14/2018,33, , , , 
3/15/2018,52, , , , 
3/16/2018,26, , , , 
3/17/2018,31, , , , 
3/18/2018,28, , , , 
3/19/2018,36, , , , 
3/20/2018,43, , , , 
3/21/2018,50, , , , 
3/22/2018,33, , , , 
3/23/2018,44, , , , 
3/24/2018,36, , , , 
3/25/2018,36, , , , 
3/26/2018,30, , , , 
3/27/2018,46, , , , 
3/28/2018,28, , , , 
3/29/2018,30, , , , 
3/30/2018,33, , , , 
3/31/2018,31, , , , 
4/1/2018,30, , , , 
4/2/2018,25, , , , 
4/3/2018,31, , , , 
